"Name","Description","Cuisine","Hours","Good for","Address","Price"
"1 Tyrwhitt Bistro Bar","With an industrial chic vibe, black and white decor, and clean lines greeting diners, 1 Tyrwhitt Bistro & Bar is savoury Italian dining done right. Don’t expect all the gimmicky frills other Italian restaurants bring because this place is about two things: the food and the drinks. So what you can expect, and should totally look forward to, is delicious hand-tossed, thin crust pizzas crisped to perfection (the Black Truffle Egg Pizza is a must-try), authentic, home-made pastas, and a wine list that’ll beckon you for days! (Aug 2015)","American, Bar, Italian, Vegetarian Friendly","Wed-Mon: 11:30am-12amClosed Tuesday","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Large Parties (16+)","1 Tyrwhitt Road","$$"
"10 SCOTTS","Located at the lobby level of Grand Hyatt Singapore, 10 SCOTTS is the ideal venue for an afternoon high tea or a leisurely evening cocktail with your closest confidantes. Embraced by a breathtaking view of beautiful cascading waterfalls, you can truly relax and enjoy a feast of delectable cuisine.
The high tea grand spread includes a selection of fine teas, a plethora of coffee concoctions, decadent evening cocktails, an endless array of sensational savouries, and a stunning medley of toothsome desserts. Trust us. The dining experience at 10 SCOTTS is truly one for the books! (May 2015)","Bar, Buffet, Japanese, Seafood, British","Sun-Thu: 12-11pmFri & Sat: 12pm-1am","Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions","Grand Hyatt Singapore,10 Scotts Road,Lobby Level","$$$"
"1001 of Arabia","1001 of Arabia is aptly named after the famous tale of 1001 Arabian Nights. Serving up authentic Syrian and Moroccan food in the heart of Bugis, you’ll be able to have a taste of the Middle East. When you’re done with your meal, take a relaxing walk around the vicinity to explore one of Singapore’s most eclectic heritage sites. (Jan 2019)","Middle Eastern","Mon-Sun: 11-1am","Al Fresco, Casual Dining","23 Baghdad StreetSingapore (199662)","$$"
"13% Gastro Wine @ Aliwal","","Modern European","Mon-Sat: 5pm-12amClosed Sunday","Casual Dining, Drinks, Private Functions","14 Aliwal Street","$$$"
"13% Gastro Wine @ Killiney","","Modern European","Mon-Sat: 5pm till lateClosed Sunday","Casual Dining, Drinks, Private Functions","117A Killiney Road2nd FloorSingapore (239554)","$$$"
"13% Gastro Wine @ Telok Ayer","","Modern European","Mon-Thu: 12pm-2.30pm, 5pm till lateFri: 12pm till lateClosed Saturday & Sunday","Casual Dining, Drinks, Private Functions","123A Telok Ayer StreetSingapore (068592)","$$$"
"15 Stamford by Alvin Leung","Maverick, rebel, extreme. Chef-founder Alvin Leung is known for being all the above, made famous by three Michelin-starred Bo Innovation in Hong Kong.

Leave aside the molecular gastronomy and discover another side of his culinary talent as he unveils 15 Stamford by Alvin Leung at the Capitol Kempinski Hotel Singapore. The modern restaurant showcases an interesting array of his favourite recipes in Asia, paying humble tribute to different cuisines through Korea, the Philippines, Thailand, Malaysia, Hong Kong and Singapore.

From the menu, the Laksa (S$32) is a glorious bowl of well-loved lemak (creamy coconut milk) broth. Brimming with chargrilled prawns tempura, jasmine tea-smoked onsen quail eggs and housemade dried shrimp floss, this luxe dish offers savoury decadence. Its spools of thick bee hoon are snipped in the beloved Singaporean Katong-style Laksa tradition so that one can slurp this bowl up with a spoon.

Another standout is the Chargrilled ""Bak Kut Teh"" Pork Ribs (S$38) which is marinated with over eight herbal spices for 12 hours. The tender char-grilled pork chops are complemented with angelica syrup-infused watermelon alongside with Bak Kut Teh-infused Barbecue sauce to create a dish reminiscent of earthier Malaysian-styled Bak Kut Teh. (Jan 2019)","Modern Asian","Mon-Sun: 12-3pm, 6-10:30pm","Business Meetings, Fine Dining, Casual Dining, Kid Friendly, Private Functions, Quiet Dinner, Large Parties (16+)","15 Stamford RoadThe Capitol Kempinski HotelSingapore (178906)","$$$"
"18 Hours @ Hotel 1887","18 Hours is situated within the heritage Hotel 1887. Here you’ll find 18 Hours @ Hotel 1887, a place that provides great prices for breakfast, brunch and dinner. A relaxed and easy going environment to hang out and watch the world pass by.
Savour a wide selection of drinks at any time of the day as our happy hours run almost throughout our operating hours. Expect nothing less from us and rest assured that our quality is definitely not compromised! So head out and visit 18 Hours @ Hotel 1887! (Jun 2019)
","American, Seafood, BBQ","Mon-Sun: 7:30am-12am","Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions","25 Trengganu StreetSingapore (058476)","$$$"
"18 Hours @ Keong Saik","18 Hours @ Keong Saik is located in the heart of bustling Chinatown where modernity meets rich cultural heritage. We are situated at the start of buzzing Keong Saik Road. With a classic, warm and atmospheric interior and fusion cuisine based on local favourites. Let us take you on a journey to wow your tastebuds! (May 2019)","American, Seafood, BBQ","Mon-Sun: 7:30am-12am","Al Fresco, Business Meetings, Drinks, Private Functions, Quiet Dinner","50 Keong Saik RoadSingapore (089154)","$$$"
"1864","History breathes beneath the floorboards and inside the walls of this beautiful bar at the Sofitel smack in the middle of the Central Business District. As a nod to the rich maritime history of the area around the hotel, this luxe bar was named 1864 after the year the historic Tanjong Pagar Dock Company was founded, and it evokes equal parts modern luxury and old-world glamour.
In the day, it is a breakfast and tea lounge, serving up eggs, Viennoiseries, coffee, and high-tea platters. At lunchtime, treat yourself to tapas with a French-Asian profile, think spicy Scallop Brochette, ikura-studded Salmon Crostini, and smoky Kurobuta Pork Yakitori served up with cold soba noodles. By the night-time, all the good vibes come together to turn the space into a sexy wine and cocktail bar, serving hotel guests alongside the city’s swanky barflies, turning out barrel-aged cocktails and premium wines faster than you can say “martini”. The signatures here include a regal Cognac Old Fashioned, the Martinez, a forgotten classic made with gin and cherry liqueur, and a cheeky Coconut Negroni that puts a Singapore spin on the international favourite. Luxury, elegance, and a quiet spot to while away the day: they don’t often make hotels like this anymore, steeped in old-world charm and flawless hospitality. (Nov 2017)","Bar, Fusion","Mon-Sun: 6:30am-12am","Business Meetings, Casual Dining, Drinks","9 Wallich StreetSofitel Singapore City CentreSingapore (078885)","$$$$"
